Start Time,End Time,Precipitation,Wind Speed,Wind Direction,Location
2024-07-12 13:00:00,2024-07-12 15:00:00,2.2,14.8,123.0,Berlin
2024-07-12 13:00:00,2024-07-12 15:00:00,0.1,20.9,90.0,Potsdam
2024-07-13 05:00:00,2024-07-13 06:00:00,0.9,15.5,270.0,Potsdam
2024-07-13 06:00:00,2024-07-13 06:00:00,1.1,14.8,274.0,Berlin
2024-07-14 04:00:00,2024-07-14 04:00:00,0.1,5.5,299.0,Berlin
2024-07-14 07:00:00,2024-07-14 07:00:00,0.1,4.7,40.0,Potsdam
2024-07-14 12:00:00,2024-07-14 12:00:00,0.1,13.7,180.0,Potsdam
2024-07-14 13:00:00,2024-07-14 13:00:00,0.9,11.1,233.0,Berlin
2024-07-14 16:00:00,2024-07-14 16:00:00,0.2,12.6,340.0,Potsdam
2024-07-16 20:00:00,2024-07-16 20:00:00,3.5,11.1,264.0,Berlin
2024-07-16 20:00:00,2024-07-16 20:00:00,0.1,15.8,260.0,Potsdam
2024-07-21 16:00:00,2024-07-21 16:00:00,0.4,12.6,250.0,Potsdam
2024-07-21 19:00:00,2024-07-21 19:00:00,0.1,7.4,199.0,Berlin
2024-07-22 01:00:00,2024-07-22 01:00:00,0.1,9.3,246.0,Berlin
